Place	Bib	Name	Gender	Age	City	State	Last Loop	Fast Loop	Avg Loop	Slow Loop	Laps	Miles	KM	RaceTime
1	5	Harvey Lewis	M	47	Cincinnati	OH	47:31	37:51	52:22	56:54	108	450.00	724.20	94:16:36
DNC	24	Ihor Verys	M	29	Chilliwack	BC	52:31	44:56	50:52	55:29	107	445.83	717.67	90:44:04
RTC	32	Bartosz Fudali	M	35	Wolsztyn	POL	53:25	32:42	46:51	54:12	103	429.16	690.81	80:26:55
DNC	13	Terumichi Morishita	M	43	Toyota City	JPN	58:40	38:11	48:36	58:40	101	420.83	677.55	81:50:09
DNC	1	Phil Gore	M	37	Darling Downs	AUS	58:45	37:32	46:22	58:45	100	416.66	670.00	77:17:47
OVER	2	Merijn Geerts	M	49	Wilsele	BEL	55:50	39:26	50:00	56:52	100	416.66	670.00	83:20:55
OVER	20	Jon Noll	M	38	Verona	WI	55:23	43:48	53:12	57:11	98	408.33	657.17	86:54:59
DNC	25	Frank Gielen	M	43	Erps-Kwerps	BEL	58:04	38:06	53:30	58:16	97	404.16	650.67	86:30:13
DNC	4	Sam Harvey	M	30	Christchurch	NZL	49:03	36:05	46:28	55:04	91	379.16	610.36	70:29:16
OVER	9	Oriol Antolí Sarrau	M	40	Terrassa	ESP	59:18	44:45	53:53	59:18	89	370.83	596.87	79:56:19
OVER	22	Robert Parsons	M	36	Somerville	AUS	55:30	48:36	52:52	57:23	84	350.00	563.27	74:01:04
OVER	26	Akihiro Maeda	M	33	Hiroshima City	JPN	53:46	38:12	49:47	56:03	83	345.83	556.77	68:52:35
DNC	7	Daiki Shibawaki	M	45	Mt Fuji	JPN	54:29	33:59	46:14	55:14	81	337.50	543.38	62:26:13
OVER	39	Jivee Tolentino	M	47	Dublin	IRL	59:54	44:38	53:45	59:54	81	337.50	543.38	72:33:54
OVER	3	Ivo Steyaert	M	53	Oosterzele	BEL	59:50	42:51	53:06	59:50	80	333.33	536.79	70:48:57
DNC	57	Christophe Baud	M	37	Feternes	FRA	54:58	45:56	50:22	58:18	77	320.83	516.61	64:38:48
OVER	17	Antonio Di Manno	M	41	Rome	ITA	55:58	47:59	53:43	56:44	76	316.66	510.11	68:02:40
DNC	50	Rodolfo Ramírez	M	37	Ciudad de México	MEX	59:56	37:05	49:37	59:56	75	312.50	502.92	62:01:58
OVER	37	Aaron Young	M	36	Oakford	AUS	58:30	43:45	52:07	58:30	75	312.50	502.92	65:09:05
OVER	6	Keith Russell	M	40	Navan	IRL	51:21	36:44	43:53	51:21	74	308.33	496.42	54:08:04
OVER	49	Matthias Pelgrims	M	32	Kerkom	BEL	59:36	49:10	54:10	59:36	74	308.33	496.42	66:48:41
RTC	48	James Blanton	M	45	Casuarina	AUS	53:10	42:51	49:34	55:42	72	300.00	482.80	59:28:57
OVER	61	Joshua Toh	M	46	Singapore	SGP	55:48	43:59	52:15	57:52	72	300.00	482.80	62:42:16
RTC	51	Tobbe Gyllebring	M	41	Stockholm	SWE	39:55	39:17	46:59	56:05	69	287.50	462.62	54:02:06
DNC	30	Kevin Sneyders	M	31	Gierle	BEL	57:08	40:28	47:46	57:08	68	283.33	456.12	54:08:16
OVER	28	Reyes Satevo	M	40	Guachochi	MEX	51:51	43:17	50:58	57:22	67	279.16	449.62	56:55:26
OVER	8	Yukinori Yoshida	M	54	Tokyo	JPN	56:18	45:58	52:11	59:29	65	270.83	435.23	56:32:53
RTC	14	Piotr Chadovich	M	45	Woodinville	WA	47:47	42:48	49:35	54:24	61	254.16	409.13	50:24:46
DNC	76	Tim Kacprzak	M	40	Bannockburn	AUS	58:10	37:40	47:48	58:10	60	250.00	402.34	47:48:54
DNC	10	Hendrik Boury	M	32	London	GBR	50:40	42:31	48:54	56:17	60	250.00	402.34	48:54:19
