Place	Bib	Name	Gender	Age	City	State	Last Loop	Fast Loop	Avg Loop	Slow Loop	Laps	Miles	KM	RaceTime	
1	1	Phil Gore	M	39	Darling Downs	AUS	37:03	35:13	46:42	57:11	114	475.00	764.438	88:43:54	
RTC	4	Ivo Steyaert	M	55	Oosterzele	BEL	52:50	44:13	53:52	59:02	113	470.83	757.732	101:28:35	
INC	6	Harvey Lewis	M	49	Cincinnati	OH	57:17	40:46	53:08	58:10	111	462.50	744.321	98:18:45	
INC	13	Jon Noll	M	40	Verona	WI	56:07	46:31	54:18	58:14	111	462.50	744.321	100:28:40	
OVER	16	Kazuhiro Kawahata	M	51	Sakai City	JPN	59:43	41:02	51:13	59:43	106	441.66	710.793	90:30:27	
INC	25	Nicolas Cointepas	M	54	Mures	FRA	56:13	39:50	45:42	56:13	105	437.50	704.088	79:59:17	
INC	9	Oriol Antolí Sarrau	M	42	Terrassa	ESP	58:31	35:47	51:02	58:31	103	429.16	690.676	87:38:04	
INC	28	Hendrik Boury	M	34	London	GBR	57:13	43:29	53:21	58:10	100	416.66	670.560	88:55:19	
INC	17	Brecht Vandamme	M	38	Oud-Turnhout	BEL	57:53	44:37	53:12	58:07	98	408.33	657.148	86:55:00	
RTC	54	Sarah Perry	F	34	Cockermouth	GBR	57:38	39:53	51:13	58:10	95	395.83	637.032	81:07:08	
INC	37	Dan Camac	M	30	Adelaide	AUS	57:08	41:01	50:24	57:08	93	387.50	623.620	78:07:57	
OVER	22	Megan Eckert	F	39	Santa Fe	NM	51:27	44:13	52:45	56:57	92	383.33	616.915	80:53:31	
INC	5	Merijn Geerts	M	50	Wilsele	BEL	58:12	41:40	50:52	58:12	88	366.66	590.092	74:36:49	
OVER	30	Rodolfo Ramírez	M	39	Mexico City	MEX	59:40	33:36	54:17	59:40	88	366.66	590.092	79:37:26	
INC	34	Niklas Yjord	M	46	Glumslov	SWE	45:39	42:51	51:01	57:04	87	362.50	583.387	73:59:40	
INC	31	Niklas Sjoblom	M	41	Rueschlikon	CHE	55:29	40:01	49:59	58:12	86	358.33	576.681	71:39:28	
INC	53	Patrik Hrotek	M	34	Horna Ves	SVK	59:19	36:42	48:14	59:19	80	333.33	536.448	64:19:36	
OVER	38	Greg Fall	M	44	Carlsbad	CA	57:13	42:32	51:29	57:39	80	333.33	536.448	68:39:14	
RTC	14	Ryan Crawford	M	41	Gympie	AUS	55:33	39:06	49:13	56:16	77	320.83	516.331	63:09:56	
OVER	23	Matthias Pelgrims	M	34	Kerkom	BEL	58:09	47:04	53:39	58:59	77	320.83	516.331	68:51:08	
OVER	51	Edit Furész	F	44	Budapest	HUN	55:41	34:47	49:23	57:34	76	316.66	509.625	62:33:08	
OVER	63	Stefan Wilfinger	M	40	Hartberg	AUT	56:02	38:59	46:55	56:02	75	312.50	502.920	58:39:50	
RTC	29	James Blanton	M	47	Banora Point	AUS	56:21	39:05	49:28	57:27	75	312.50	502.920	61:50:15	
INC	42	Lee Alonzo Murphy	M	36	Hubbards	NS	56:49	38:52	48:44	57:54	74	308.33	496.214	60:06:27	
OVER	10	Terumichi Morishita	M	45	Toyota City	JPN	57:10	42:08	50:49	58:39	74	308.33	496.214	62:41:32	
INC	52	Daniele Lissoni	M	42	Seregno	ITA	57:47	48:48	53:36	57:47	73	304.16	489.508	65:12:53	
RTC	41	Tomasz Cyganski	M	39	Olsztyn	POL	35:29	35:29	48:38	58:10	72	300.00	482.803	58:21:45	
RTC	61	Verneri Teppo	M	34	Tampere	FIN	44:18	33:59	42:22	50:32	70	291.66	469.392	49:25:45	
OVER	26	Christophe Baud	M	39	Feternes	FRA	51:06	41:34	47:59	57:00	67	279.16	449.275	53:35:40	
OVER	44	Sebastian Sikora	M	49	Gdynia	POL	50:06	42:44	49:23	56:29	67	279.16	449.275	55:09:09	
OVER	48	Michal Sitarek	M	50	Starogard Gdanski	POL	54:22	34:06	49:54	58:28	67	279.16	449.275	55:43:57	
INC	15	Michitaro Mizuno	M	30	Hadano	JPN	58:22	42:13	52:43	58:22	65	270.83	435.864	57:06:58	
INC	20	Scott Snell	M	45	Egg Harbor Twp	NJ	56:03	47:45	53:55	58:26	65	270.83	435.864	58:25:21	
RTC	56	Eivind Svellingen	M	41	Kleppesto	NOR	53:22	43:06	48:13	56:30	63	262.50	422.452	50:38:10	
INC	70	Jonatan Torena Rodriguez	M	29	Montevideo	URY	55:21	37:26	49:58	57:48	63	262.50	422.452	52:28:15	
INC	21	Matt Blackburn	M	40	New Mills	GBR	56:33	43:30	52:35	58:09	63	262.50	422.452	55:13:43	
OVER	7	Ivan Zaborskii	M	38	Moscow		52:25	34:12	44:29	55:21	62	258.33	415.747	45:58:33	
DQ	8	Bartosz Fudali	M	37	Wolsztyn	POL	41:37	34:38	42:02	53:12	61	254.16	409.041	42:44:14	
INC	43	Pawel Pszczólkowski	M	37	Olsztyn	POL	56:37	44:14	49:42	57:20	61	254.16	409.041	50:32:28	
INC	64	David Stoltenborg	M	37	Egtved	DNK	55:38	44:02	49:35	56:19	60	250.00	402.336	49:35:55	
OVER	18	Tokimasa Hirata	M	52	Fukuoka Hakataku	JPN	59:49	36:24	50:34	59:49	59	245.83	395.630	49:44:09	
OVER	27	Akihiro Maeda	M	35	Hiroshima City	JPN	59:47	46:42	52:00	59:47	59	245.83	395.630	51:08:44	
OVER	24	Vadim Sharkov	M	38	St Petersburg		59:54	37:32	46:12	59:54	57	237.50	382.219	43:53:34	
OVER	12	Jonathan Ash	M	42	Albion Park	AUS	58:07	38:57	47:59	58:07	56	233.33	375.513	44:47:11	
INC	69	Karl Kevin Ruul	M	24	Tartu	EST	56:02	42:49	50:02	56:09	56	233.33	375.513	46:42:17	
INC	59	Geovane Griesang	M	44	Venancio Aires	BRA	57:08	48:30	54:08	57:08	55	229.16	368.808	49:37:36	
INC	67	Dang Trung Nguyen	M	44	Hanoi	VNM	58:39	47:56	52:54	58:39	54	225.00	362.102	47:37:08	
OVER	39	Hiroto Komatsu	M	46	Matsudo City	JPN	59:29	45:24	53:02	59:29	54	225.00	362.102	47:44:12	
OVER	36	Jennifer Russo	F	59	New Richmond	OH	58:51	44:43	51:02	59:07	52	216.66	348.691	44:14:25	
OVER	35	Ronan Pierre	M	44		FRA	57:33	39:50	47:09	57:43	51	212.50	341.985	40:05:17	
OVER	58	Sunil Sharma	M	33	Sirmaur	IND	57:51	31:33	47:50	57:51	51	212.50	341.985	40:40:06	
OVER	57	Savas Lutfi Kara	M	52	Izmir	TUR	55:04	41:17	48:12	57:44	50	208.33	335.280	40:10:19	
RTC	45	Ryan Metivier	M	49	Auburn	ME	49:46	41:11	48:38	53:36	43	179.16	288.340	34:51:33	
INC	68	Luis Agustin Casajus	M	36	Buenos Aires	ARG	56:44	45:15	50:45	56:44	42	175.00	281.635	35:31:46	
INC	73	Jason Williams	M	41	Warwick	BMU	53:35	48:47	51:34	54:02	42	175.00	281.635	36:05:49	
OVER	72	Peter Johnston	M	49	Ashbourne	GBR	59:09	43:29	51:48	59:09	42	175.00	281.635	36:16:16	
OVER	46	Dave Kwiatkowski	M	28	Arlington	VA	55:03	45:59	52:15	57:19	42	175.00	281.635	36:35:01	
INC	74	Ned Phillips	M	58	Singapore	SGP	56:48	49:00	52:57	56:48	40	166.66	268.224	35:18:27	
INC	66	José Luis Guzmán	M	34	Cochabamba	BOL	49:14	40:47	52:24	56:15	40	166.66	268.224	46:00:00	
RTC	60	Willie David Christopher	M	43	Petaling Jaya	MYS	59:36	50:20	53:51	59:36	39	162.50	261.518	35:00:46	
OVER	33	Minoru Tanaka	M	57	Yamaguchi City	JPN	37:32	32:45	51:27	56:43	38	158.33	254.812	44:00:00	
RTC	19	Simon McLean	M	33	Auckland	NZL	52:19	38:59	46:21	52:25	38	158.33	254.812	45:00:00	
RTC	32	Jivee Tolentino	M	49	Dublin	IRL	56:27	46:48	51:52	56:27	36	150.00	241.401	31:07:44	
DQ	50	Jose Manuel Ruiz Verdugo	M	54	Mataro	ESP	48:09	37:49	46:42	52:16	35	145.83	234.696	27:14:33	
INC	11	Kenneth Vanthuyne	M	42	Merelbeke-Melle	BEL	55:21	32:12	47:27	55:21	35	145.83	234.696	27:40:52	
INC	62	José Monsanto	M	45	Lisboa	PRT	48:52	38:15	45:39	52:26	28	116.66	187.756	21:18:29	
INC	47	Jaroslav Kopriva	M	41	Pacetluky	CZE	53:01	46:44	50:49	53:55	25	104.16	167.640	21:10:29	
RTC	2	Sam Harvey	M	32	Christchurch	NZL	47:49	37:21	46:18	53:58	24	100.00	160.934	18:31:24	
RTC	49	Thorleifur Thorleifsson	M	46	Reykjavík	ISL	56:50	47:09	52:32	56:50	20	83.33	134.112	17:30:53	
OVER	3	Lukasz Wróbel	M	47	Leszno	POL	58:16	43:28	47:47	58:16	17	70.83	113.995	13:32:30	
RTC	75	Brian Pasmor	M	29	Luque	PRY	58:23	46:39	51:32	58:23	16	66.66	107.289	13:44:41	
OVER	40	Ron Wireman	M	44	Knoxville	TN	51:42	48:51	51:11	51:42	6	25.00	40.233	5:07:07	
